Date,Platform,Prompt,Brand,Mentioned,Position,Sentiment
2025-08-06,Claude,best cashback card,Citi,1,4,Positive
2024-06-18,ChatGPT,best premium card,AMEX,1,1,Neutral
2025-11-28,Claude,best business card,Chase,1,5,Positive
2024-04-17,ChatGPT,best business card,Citi,1,5,Neutral
2024-04-21,ChatGPT,best business card,AMEX,1,3,Positive
2024-08-11,Claude,best travel credit card,Citi,1,3,Neutral
2025-12-23,ChatGPT,best travel credit card,Citi,1,2,Negative
2024-06-06,ChatGPT,best business card,Citi,1,5,Positive
2024-02-29,Claude,best premium card,Chase,1,4,Negative
2025-04-28,ChatGPT,best business card,Chase,1,3,Neutral
2025-09-27,Claude,best travel credit card,Capital One,1,3,Neutral
2025-06-11,Claude,best travel credit card,AMEX,1,4,Positive
2024-09-15,ChatGPT,best cashback card,Capital One,0,5,Negative
2025-08-20,Gemini,best premium card,Chase,0,2,Neutral
2024-03-25,Perplexity,best premium card,Chase,1,4,Positive
2025-10-28,Perplexity,best business card,AMEX,1,2,Negative
2025-07-31,Perplexity,best premium card,Capital One,1,2,Positive
2025-03-02,Claude,best travel credit card,Capital One,1,3,Negative
2024-05-30,ChatGPT,best premium card,AMEX,1,5,Neutral
2025-07-04,ChatGPT,best business card,Chase,1,2,Neutral
2025-02-25,Gemini,best cashback card,Chase,0,4,Neutral
2024-12-26,Claude,best cashback card,AMEX,1,5,Negative
2025-02-23,Gemini,best business card,AMEX,1,1,Negative
2025-10-15,Claude,best travel credit card,AMEX,1,1,Positive
2025-01-07,ChatGPT,best cashback card,Capital One,1,4,Neutral
2025-01-18,Claude,best business card,AMEX,0,1,Negative
2024-06-23,ChatGPT,best travel credit card,Chase,1,5,Neutral
2025-07-16,Perplexity,best premium card,AMEX,1,5,Negative
2025-10-20,ChatGPT,best business card,Capital One,1,3,Negative
2024-10-12,Gemini,best business card,Citi,1,5,Negative
2024-03-16,Perplexity,best travel credit card,Citi,1,2,Positive
2025-07-29,Perplexity,best business card,Capital One,1,3,Neutral
2025-12-28,ChatGPT,best premium card,Citi,1,2,Negative
2024-02-11,Perplexity,best business card,AMEX,1,5,Negative
2025-02-25,Perplexity,best premium card,Citi,1,3,Positive
2024-08-11,Gemini,best travel credit card,Citi,1,4,Neutral
2025-07-15,Perplexity,best business card,Citi,1,4,Negative
2025-02-27,Claude,best travel credit card,Chase,1,4,Neutral
2025-07-12,Claude,best premium card,AMEX,1,3,Positive
2025-07-27,Perplexity,best travel credit card,Citi,1,5,Positive
2024-08-24,ChatGPT,best cashback card,Citi,1,5,Neutral
2025-11-16,Gemini,best cashback card,Capital One,1,3,Neutral
2024-11-14,Gemini,best business card,Citi,1,3,Neutral
2024-02-16,Perplexity,best business card,Chase,1,1,Neutral
2025-01-20,ChatGPT,best business card,Capital One,1,1,Negative
